number	affinity	name	stars	power level	class	race	evolve from number	evolve into number	leader ability	combat ability	defender skill	counter skill	Art
16	earth	Deepmoss Druid	**	4	Healer	Human			Earth Blessing II: 120% REC for all Earth Heroes	Minera's Favor: Heal for 300% of REC and Convert 3 Earth Gems into Heart Gems	Regen	Cure Poison	
77	earth	Deepmoss Dryad	**	4	Attacker	Corrupt			Human Might II: 120% Damage for all Human Heroes	Deepmoss Call: Attack all enemies for 250% of ATK and Convert 4 Fire Gems into Earth Gems	Poison	Cure Zombie	
15	earth	Deepmoss Initiate	*	2	Healer	Human			Earth Blessing I: 110% REC for all Earth Heroes	Minera's Kiss: Heal for 300% of REC and Convert 3 Earth Gems into Heart Gems	Regen	Unknown	
94	earth	Wren Bogs Spawnling	****	9	Warrior	Dragon			Warrior Might IV: 160% Damage for all Warrior Heroes	Stunning Gaze: Attack all enemies for 400% of ATK, ignoring armor	Armor	Cure Siphon	
96	earth	Wren Bogs Orc	***	6	Attacker	Giant			Earth Might III: 140% Damage for all Earth Heroes	Gore: Attack an enemy for 350% of ATK and Convert 4 Fire Gems into Earth Gems	Regen	Cure Zombie	
19	earth	Deepmoss Orphan	**	4	Mage	Corrupt			Earth Might II: 120% Damage for all Earth Heroes	Undergrowth: Attack all enemies for 300% of ATK	Drain	Dispel Armor	
18	earth	Deepmoss Runaway	*	2	Mage	Corrupt			Earth Might I: 110% Damage for all Earth Heroes	Budding: Attack all enemies for 300% of ATK	Drain	Unknown	
97	earth	Wren Bogs Chieftan	****	9	Attacker	Giant			Earth Might IV: 160% Damage for all Earth Heroes	Impale: Attack an enemy for 400% of ATK and Convert 5 Fire Gems into Earth Gems	Regen	Cure Zombie	
341	earth	Rhinarc Alpha	*****	15	Warrior	Creature			Creature Might V: 180% Damage for all Creature Heroes	Stampede: Attack an enemy for 320% of HP for 2 turns	Weaken	Cure Blind	
342	earth	Rhohores, Poison Hoof	******	30	Warrior	Creature			Creature Might VI: 200% Damage for all Creature Heroes	Poison Hoof: Attack an enemy for 380% of HP for 2 turns	Weaken	Cure Blind	
124	earth	Ilodran Sniper	***	6	Attacker	Human			Earth Armor III: 140% HP for all Earth Heroes	Flurry of Arrows: Attack an enemy for 350% of ATK, ignoring armor	Weaken	Cure Poison	
125	earth	Ilodran Deadeye	****	9	Attacker	Human			Earth Armor IV: 160% HP for all Earth Heroes	Storm of Arrows: Attack an enemy for 450% of ATK, ignoring armor	Weaken	Cure Poison	
392	earth	Djema, The Perceptive	*****	15	Mage	God			Dragon Might V: 180% Damage for all Dragon Heroes	Renewed Vigor: Reduce all enemy ATK by 35% for 2 turns and Attack an enemy for 650% of ATK	Blind	Dispel Armor	
127	earth	Stonesister Elite	***	6	Balanced	Dwarf			Attacker Might III: 140% Damage for all Attacker Heroes	Stonefist Strike: Attack an enemy for 350% of ATK and Upgrade 1 Earth Gem	Dodge	Cure Siphon	
139	earth	Yoran Swarmers	***	6	Warrior	Spirit			Warrior Armor III: 140% HP for all Warrior Heroes	Drain Soul: Attack an enemy for 260% of HP and Slow for 2 turns	Might	Dispel Dodge	
270	earth	Dogen, The Mercenary	**	4	Balanced	Legend			Earth Might II: 120% Damage for all Earth Heroes	Maul: Attack all enemies for 200% of ATK	Might	Unknown	
393	earth	Empyrean Djema	******	30	Mage	God			Dragon Might VI: 200% Damage for all Dragon Heroes	Empyrean Roar: Reduce all enemy ATK by 40% for 2 turns and Attack an enemy for 750% of ATK	Blind	Dispel Armor	
144	earth	Yoran Hydraling	***	6	Warrior	Dragon			Earth Armor III: 140% HP for all Earth Heroes	Acid Sting: Attack all enemies for 220% of HP	Poison	Dispel Drain	
146	earth	Quetzl	*****	15	Warrior	Dragon			Earth Armor V: 180% HP for all Earth Heroes	Venomous Bite: Attack all enemies for 260% of HP for 3 turns	Poison	Dispel Drain	
145	earth	Yoran Hydra	****	9	Warrior	Dragon			Earth Armor IV: 160% HP for all Earth Heroes	Acid Breath: Attack all enemies for 240% of HP for 2 turns	Poison	Dispel Drain	
362	earth	Mordred, The Mutinous	*****	15	Defender	Fable			Earth Armor V: 180% HP for all Earth Heroes	Bastard's Resolve: Attack all enemies for 240% of HP and Defend 35% of all damage for 2 Turns	Weaken	Cure Traitor	
383	earth	Disgruntled Spirit	*****	15	Balanced	Spirit			Earth Armor V: 180% HP for all Earth Heroes	Spirit of Anger: Attack all enemies for 300% of ATK and 180% of HP for 2 turns	Drain	Dispel Thorns	
158	earth	Yoran Shaman	***	6	Mage	Human			Mage Might III: 140% Damage for all Mage Heroes	Rain Dance: Attack all enemies for 300% of ATK and Upgrade 1 Earth Gem	Zombie	Cure Blind	
159	earth	Yoran Shaman Elder	****	9	Mage	Human			Mage Might IV: 160% Damage for all Mage Heroes	Rain Dance: Attack all enemies for 400% of ATK and Upgrade 1 Earth Gem	Zombie	Cure Blind	
168	earth	Deepmoss Jaguar	****	9	Guardian	Creature			Guardian Blessing IV: 160% REC for all Guardian Heroes	Hide in Shadows: Heal for 400% of REC and Team is immune to damage this turn	Poison	Cure Weaken	
147	earth	Quetzl the Vicious	******	30	Warrior	Dragon			Earth Armor VI: 200% HP for all Earth Heroes	Corrosive Spray: Attack all enemies for 260% of HP for 5 turns	Poison	Dispel Drain	
178	earth	Psadrian Healer	****	9	Healer	Creature			Earth Blessing IV: 160% REC for all Earth Heroes	Psadrian Chant: Attack an enemy for 800% of REC and Heal for 200% of REC	Siphon	Unknown	
363	earth	Mordred, Traitor King	******	30	Defender	Fable			Earth Armor VI: 200% HP for all Earth Heroes	Traitor King: Attack all enemies for 280% of HP and Defend 35% of all damage for 2 Turns	Weaken	Cure Traitor	
198	earth	Minera, the Touched	****	9	Attacker	Demigod			Human Might IV: 160% Damage for all Human Heroes	Roots of Deepmoss: Attack an enemy for 650% of ATK	Dodge	Cure Siphon	
384	earth	Spirit of Krismas Past	******	30	Balanced	Spirit			Earth Armor VI: 200% HP for all Earth Heroes	Jealous Rage: Attack all enemies for 350% of ATK and 220% of HP for 2 turns	Drain	Dispel Thorns	
265	earth	Atcha, The Content	*****	15	Healer	Human			Earth Blessing V: 180% REC for all Earth Heroes	Contented Sigh: Attack all enemies for 1000% of REC and Convert 3 Earth Gems into Health Gems	Absorb	Cleanse II	
122	earth	Ilodran Archer	*	2	Attacker	Human			Earth Armor I: 110% HP for all Earth Heroes	Snipe: Attack an enemy for 350% of ATK, ignoring armor	Weaken	Unknown	
213	earth	Wren Bogs Trog	****	9	Guardian	Giant			Giant Armor IV: 160% HP for all Giant Heroes	Tree Trunk Slam: Attack an enemy for 220% of HP and Defend 40% of all damage for 2 turns	Armor	Cure Vessel	
266	earth	Atcha, The Joyous	******	30	Healer	Human			Earth Blessing VI: 200% REC for all Earth Heroes	Joyous Burst: Attack all enemies for 1200% of REC and Convert 3 Earth Gems into Health Gems	Absorb	Cleanse III	
228	earth	Dawnroot Acolyte	****	9	Mage	Human			Mage Might IV: 160% Damage for all Mage Heroes	Dagda's Hand: Attack all enemies for 300% of ATK and Convert 4 Fire Gems into Earth Gems	Siphon	Dispel Armor	
123	earth	Ilodran Marksman	**	4	Attacker	Human			Earth Armor II: 120% HP for all Earth Heroes	Deadeye: Attack an enemy for 350% of ATK, ignoring armor	Weaken	Cure Poison	
186	earth	Battle Wolf Odin	*****	15	Attacker	God			Earth Might V: 180% Damage for all Earth Heroes	Gungnir's Thirst: Attack all Water enemies for 500% of ATK and Attack an enemy for 500% of ATK	Judgement	Cure Zombie	
255	earth	Disgust Spirit	****	9	Balanced	Spirit			Spirit Might IV: 160% Damage for all Spirit Heroes	Acidic Puss: Attack all enemies for 300% of ATK for 2 turns and Slow all enemies for 2 turns	Drain	Dispel Dodge	
273	earth	Dogen, The Spurned	*****	15	Balanced	Legend			Earth Might V: 180% Damage for all Earth Heroes	Animal Rage: Attack all enemies for 500% of ATK	Might	Unknown	
374	earth	Gwyn, The Rebellious	*****	15	Warrior	Human			Earth Might V: 180% Damage for all Earth Heroes	Energy Saber: Attack an enemy for 650% of ATK, ignoring armor	Poison	Cure Vessel	
264	earth	Happy Atcha	****	9	Healer	Human			Earth Blessing IV: 160% REC for all Earth Heroes	Healthy Cheer: Attack all enemies for 800% of REC and Convert 3 Earth Gems into Health Gems	Absorb	Cleanse I	
187	earth	All-Father Odin	******	30	Attacker	God			Earth Might VI: 200% Damage for all Earth Heroes	Ragnarok: Attack all Water enemies for 600% of ATK and Attack an enemy for 600% of ATK	Judgement	Cure Zombie	
274	earth	Dogen, Unleashed	******	30	Balanced	Legend			Earth Might VI: 200% Damage for all Earth Heroes	Beastly Fury: Attack all enemies for 600% of ATK	Might	Unknown	
271	earth	Dogen, The Devoted	***	6	Balanced	Legend			Earth Might III: 140% Damage for all Earth Heroes	Twirling Hammers: Attack all enemies for 300% of ATK	Might	Unknown	
272	earth	Dogen, The Hammer	****	9	Balanced	Legend			Earth Might IV: 160% Damage for all Earth Heroes	Furor: Attack all enemies for 400% of ATK	Might	Unknown	
375	earth	Gwyn, Rogue Queen	******	30	Warrior	Human			Earth Might VI: 200% Damage for all Earth Heroes	Strike First: Attack an enemy for 750% of ATK, ignoring armor	Poison	Cure Vessel	
76	earth	Earthbound Ancient	*****	15	Defender	Giant			Giant Armor V: 180% HP for all Giant Heroes	Earth Embrace: Attack an enemy for 260% of HP and Defend 30% of all damage for 2 turns	Weaken	Cure Poison	
307	earth	R'lyeh, Brood Lord	****	9	Balanced	Corrupt			Corrupt Blessing IV: 160% REC for all Corrupt Heroes	Soul Madness: Reduce all enemy DEF by 40% for 2 turns and Attack all enemies for 1100% of REC	Zombie	Dispel Might	
214	earth	Wren Bogs Troll	*****	15	Guardian	Giant			Giant Armor V: 180% HP for all Giant Heroes	Massive Bolder: Attack an enemy for 280% of HP and Defend 40% of all damage for 2 turns	Armor	Cure Vessel	
215	earth	King Treehorn	******	30	Guardian	Giant			Giant Armor VI: 200% HP for all Giant Heroes	Horntree: Attack an enemy for 340% of HP and Defend 40% of all damage for 2 turns	Armor	Cure Vessel	
316	earth	Tyrfing, Cursed Blade	****	9	Attacker	Spirit			Spirit Armor IV: 160% HP for all Spirit Heroes	Cursed Blade: Attack an enemy for 500% of ATK, Attack self for 500% of REC. Can kill the player.	Vessel	Cure Weaken	
323	earth	Emerald Titan	*****	15	Warrior	Giant			Giant Might V: 180% Damage for all Giant Heroes	Emerald Crush: Attack all enemies for 360% of HP, ignoring armor	Thorns	Dispel Regen	
324	earth	Emetria, Divine Titan	******	30	Warrior	Giant			Giant Might VI: 200% Damage for all Giant Heroes	Cosmic Protector: Attack all enemies for 440% of HP, ignoring armor	Thorns	Dispel Regen	
322	earth	Emerald Giant	****	9	Warrior	Giant			Giant Might IV: 160% Damage for all Giant Heroes	Emerald Fist: Attack all enemies for 280% of HP, ignoring armor	Thorns	Dispel Regen	
410	earth	Wu Kong, Cloud Walker	*****	15	Balanced	God			God Might V: 180% Damage for all God Heroes	Cloud Walker: Matches after the first match have moderately increased time to make gem matches for 2 turns	Absorb	Cure Weaken	
340	earth	Rhinarc	****	9	Warrior	Creature			Creature Might IV: 160% Damage for all Creature Heroes	Charge: Attack an enemy for 260% of HP for 2 turns	Weaken	Cure Blind	
126	earth	Stonesister	**	4	Balanced	Dwarf			Attacker Might II: 120% Damage for all Attacker Heroes	Stonefist Jab: Attack an enemy for 300% of ATK and Upgrade 1 Earth Gem	Dodge	Cure Siphon	
411	earth	Wu Kong, Monkey King	******	30	Balanced	God			God Might VI: 200% Damage for all God Heroes	King's Staff: Matches after the first match have massively increased time to make gem matches for 2 turns	Absorb	Cure Weaken	
56	earth	Swampheart	**	4	Guardian	Spirit			Guardian Armor II: 120% HP for all Guardian Heroes	Brambles: Attack all enemies for 180% of HP	Armor	Cure Weaken	
352	earth	Gourdicous, The Sproutling	****	9	Balanced	Creature			Creature Armor IV: 160% HP for all Creature Heroes	Hunger's Bite: Attack an enemy for 300% of ATK for 2 turns	Siphon	Dispel Drain	
416	earth	Chevalier Dorin	*****	15	Balanced	Human			Human Armor V: 180% HP for all Human Heroes	Death's Herald: Increase all heroes RCV by 50% for 2 turns	Regen	Cure Poison	
417	earth	Sir Dorin of Brin	******	30	Balanced	Human			Human Armor VI: 200% HP for all Human Heroes	Shepherd Of Souls: Increase all heroes RCV by 100% for 2 turns	Regen	Cure Poison	
361	earth	Mordred, Bastard Son	****	9	Defender	Fable			Earth Armor IV: 160% HP for all Earth Heroes	Bastard's Revenge: Attack all enemies for 180% of HP and Defend 35% of all damage for 2 Turns	Weaken	Cure Traitor	
199	earth	Minera, the Chosen	*****	15	Attacker	Demigod			Human Might V: 180% Damage for all Human Heroes	Gaze of the Prophet: Attack an enemy for 850% of ATK	Dodge	Cure Siphon	
200	earth	Prophet Minera	******	30	Attacker	Demigod			Human Might VI: 200% Damage for all Human Heroes	Roots of Deepmoss: Attack an enemy for 650% of ATK	Dodge	Cure Siphon	
373	earth	Gwyn, Outcast Rogue	****	9	Warrior	Human			Earth Might IV: 160% Damage for all Earth Heroes	Light Path: Attack an enemy for 500% of ATK, ignoring armor	Poison	Cure Vessel	
229	earth	Dawnroot Wanderer	*****	15	Mage	Human			Mage Might V: 180% Damage for all Mage Heroes	Dawnroot: Attack all enemies for 400% of ATK and Convert 5 Fire Gems into Earth Gems	Siphon	Dispel Armor	
382	earth	Aggravated Spirit	****	9	Balanced	Spirit			Earth Armor IV: 160% HP for all Earth Heroes	Spirit of Envy: Attack all enemies for 250% of ATK and 140% of HP for 2 turns	Drain	Dispel Thorns	
230	earth	The Dagda	******	30	Mage	Human			Mage Might VI: 200% Damage for all Mage Heroes	High King: Attack all enemies for 400% of ATK and Convert 6 Fire Gems into Earth Gems	Siphon	Dispel Armor	
317	earth	Tyrfing Of Soil And Flame	*****	15	Attacker	Spirit			Spirit Armor V: 180% HP for all Spirit Heroes	Soil and Flame: Attack an enemy for 650% of ATK, Attack self for 500% of REC. Can kill the player.	Vessel	Cure Weaken	
318	earth	Tyrfing, God Eater	******	30	Attacker	Spirit			Spirit Armor VI: 200% HP for all Spirit Heroes	God Eater: Attack an enemy for 750% of ATK, Attack self for 500% of REC. Can kill the player.	Vessel	Cure Weaken	
391	earth	Djema, Bringer Of Seed	****	9	Mage	God			Dragon Might IV: 160% Damage for all Dragon Heroes	Sprouting Vines: Reduce all enemy ATK by 30% for 2 turns and Attack an enemy for 550% of ATK	Blind	Dispel Armor	
256	earth	Disgust Ifrit	*****	15	Balanced	Spirit			Spirit Might V: 180% Damage for all Spirit Heroes	Rotting Flesh: Attack all enemies for 350% of ATK for 2 turns and Slow all enemies for 2 turns	Drain	Dispel Dodge	
409	earth	Wu Kong, Stone Born	****	9	Balanced	God			God Might IV: 160% Damage for all God Heroes	Multi-Staff Strike: Matches after the first match have moderately increased time to make gem matches for 2 turns	Absorb	Cure Weaken	
13	earth	Yoran Nomad	*	2	Balanced	Human			Balanced Might I: 110% Damage for all Balanced Heroes	Poison Blade: Attack all enemies for 200% of ATK for 2 turns	Poison	Unknown	
138	earth	Yoran Pests	**	4	Warrior	Spirit			Warrior Armor II: 120% HP for all Warrior Heroes	Drain Blood: Attack an enemy for 260% of HP and Slow for 2 turns	Might	Dispel Dodge	
14	earth	Yoran Rogue	**	4	Balanced	Human			Balanced Might II: 120% Damage for all Balanced Heroes	Poison Cloud: Attack all enemies for 250%of ATK for 2 turns	Poison	Dispel Dodge	
257	earth	Avatar of Disgust	******	30	Balanced	Spirit			Spirit Might VI: 200% Damage for all Spirit Heroes	Toxic Spew: Attack all enemies for 450% of ATK for 2 turns and Slow all enemies for 2 turns	Drain	Dispel Dodge	
415	earth	Squire Dorin	****	9	Balanced	Human			Human Armor IV: 160% HP for all Human Heroes	Trample: Increase all heroes RCV by 25% for 2 turns	Regen	Cure Poison	
95	earth	Wren Bogs Basilisk	*****	15	Warrior	Dragon			Warrior Might V: 180% Damage for all Warrior Heroes	Stone Gaze: Attack all enemies for 500% of ATK, ignoring armor	Armor	Cure Siphon	
