affinity	name	stars	class	race	attack	recovery	health	leader ability	defender skill	counter skill	slayer	bounty hunter	commander	warden	combat ability	evolve from	evolve into
dark	Ordric Scholar	***	Mage	Human	732	243	326	Mage Might III: 140% Damage for all Mage Heroes	Zombie	Dispel Blind		2x			Soul Flare: Attack all enemies for 300% of ATK and Upgrade 1 Dark Gem		Ordric Monk ****
dark	Ordric Monk	****	Mage	Human	1178	393	502	Mage Might IV: 160% Damage for all Mage Heroes	Zombie	Dispel Blind		3x			Soul Fire: Attack all enemies for 400% of ATK and Upgrade 1 Dark Gem	Ordric Scholar ***	
dark	Longnight Djinn	****	Healer	Spirit	627	516	1044	Dark Blessing IV: 260% REC for all Dark Heroes	Siphon	Unknown					Soul Sap: Attack an enemy for 800% of REC and Heal for 200% of REC		
dark	Anubis, Jackal Lord	*****	Attacker	God	2761	370	1848	Dark Might V: 180% Damage for all Dark Heroes	Judgement	Dispel Zombie					Soul Blaze: Attack all Light enemies for 500% of ATK and Attack an enemy for 500% of ATK		Anubis, Guide Of Souls ******
dark	Anubis, Guide Of Souls	******	Attacker	God	4018	536	2685	Dark Might VI: 200% Damage for all Dark Heroes	Judgement	Dispel Zombie					Syphon Souls: Attack all Light enemies for 600% of ATK and Attack an enemy for 600% of ATK	Anubis, Jackal Lord *****	
dark	Devorah, The Starborn	****	Attacker	Demigod	1547	207	1040	Human Might IV: 160% Damage for all Human Heroes	Dodge	Dispel Siphon					Starborn Slash: Attack an enemy for 650% of ATK		Devorah, The Moonbound *****
dark	Devorah, The Moonbound	*****	Attacker	Demigod	2631	354	1772	Human Might V: 180% Damage for all Human Heroes	Dodge	Dispel Siphon					Meteorite Strike: Attack an enemy for 850% of ATK	Devorah, The Starborn ****	Starcatcher Devorah ******
dark	Starcatcher Devorah	******	Attacker	Demigod	3822	512	2559	Human Might VI: 200% Damage for all Human Heroes	Dodge	Dispel Siphon		4x			Meteoric Assault: Reduce all enemy DEF by 50% for 3 turns and Attack an enemy for 850% of ATK	Devorah, The Moonbound *****	
dark	Lunia Abomination	****	Guardian	Giant	338	437	2189	Giant Armor IV: 160% HP for all Giant Heroes	Armor	Dispel Vessel					Lunic Ooze: Attack an enemy for 220% of HP and Defend 40% of all damage for 2 turns		Lunia Aberration *****
dark	Lunia Aberration	*****	Guardian	Giant	562	738	3690	Giant Armor V: 180% HP for all Giant Heroes	Armor	Dispel Vessel					Toxic Spray: Attack an enemy for 280% of HP and Defend 40% of all damage for 2 turns	Lunia Abomination ****	Chardon ******
dark	Chardon	******	Guardian	Giant	810	1071	5358	Giant Armor VI: 200% HP for all Giant Heroes	Armor	Dispel Vessel					Vile Secretion: Attack an enemy for 340% of HP and Defend 40% of all damage for 2 turns	Lunia Aberration *****	
dark	Starfall Pledge	****	Mage	Corrupt	1244	415	536	Mage Might IV: 160% Damage for all Mage Heroes	Siphon	Dispel Armor					The Darkness: Attack all enemies for 300% of ATK and Convert 4 Light Gems into Dark Gems		Starfall Savant *****
dark	Starfall Savant	*****	Mage	Corrupt	2092	696	873	Mage Might V: 180% Damage for all Mage Heroes	Siphon	Dispel Armor					Night Terrors: Attack all enemies for 400% of ATK and Convert 5 Light Gems into Dark Gems	Starfall Pledge ****	Nightbound ******
dark	Nightbound	******	Mage	Corrupt	3062	1021	1294	Mage Might VI: 200% Damage for all Mage Heroes	Siphon	Dispel Armor					Night's Cleanse: Attack all enemies for 400% of ATK and Convert 6 Light Gems into Dark Gems	Starfall Savant *****	
dark	Desire Spirit	****	Balanced	Spirit	940	312	1567	Spirit Might IV: 160% Damage for all Spirit Heroes	Drain	Dispel Dodge					Pangs of Desire: Attack all enemies for 300% of ATK for 2 turns and Slow all enemies for 2 turns		Desire Ifrit *****
dark	Desire Ifrit	*****	Balanced	Spirit	1582	526	2637	Spirit Might V: 180% Damage for all Spirit Heroes	Drain	Dispel Dodge					Thirst of Desire: Attack all enemies for 350% of ATK for 2 turns and Slow all enemies for 2 turns	Desire Spirit ****	Avatar of Desire ******
dark	Avatar of Desire	******	Balanced	Spirit	2294	764	3824	Spirit Might VI: 200% Damage for all Spirit Heroes	Drain	Dispel Dodge					Desire's Embrace: Attack all enemies for 450% of ATK for 2 turns and Slow all enemies for 2 turns	Desire Ifrit *****	
dark	Single Strike Tycus	****	Healer	Human	699	574	1164	Dark Blessing IV: 260% REC for all Dark Heroes	Absorb	Cleanse I					Conditioning: Attack all enemies for 800% of REC and Convert 3 Dark Gems into Health Gems		Tycus, The Braggart *****
dark	Tycus, The Braggart	*****	Healer	Human	1167	967	1946	Dark Blessing V: 280% REC for all Dark Heroes	Absorb	Cleanse II					Second Wind: Attack all enemies for 1000% of REC and Convert 3 Dark Gems into Health Gems	Single Strike Tycus ****	Tycus, The Humbled ******
dark	Tycus, The Humbled	******	Healer	Human	1692	1406	2819	Dark Blessing VI: 300% REC for all Dark Heroes	Absorb	Cleanse III					Adrenaline: Attack all enemies for 1200% of REC and Convert 3 Dark Gems into Health Gems	Tycus, The Braggart *****	
dark	Almar Klen	**	Balanced	Legend	524	175	872	Dark Power II: 120% Damage and HP for all Dark Heroes	Almar's Terror	Absolve	2x	2x	2x		Sneak Attack: Attack all enemies for 200% of ATK		Almar, The Branded ***
dark	Almar, The Branded	***	Balanced	Legend	874	292	1456	Dark Power III: 140% Damage and HP for all Dark Heroes	Almar's Terror	Absolve	2x	2x	2x		Rogue's Strike: Attack all enemies for 300% of ATK	Almar Klen **	Almar, The Judged ****
dark	Almar, The Judged	****	Balanced	Legend	1422	474	2371	Dark Power IV: 160% Damage and HP for all Dark Heroes	Almar's Terror	Absolve	2x	2x	2x		Whirling Blades: Attack all enemies for 400% of ATK	Almar, The Branded ***	Almar, Reluctant Savior *****
dark	Almar, Reluctant Savior	*****	Balanced	Legend	2410	802	4015	Dark Power V: 180% Damage and HP for all Dark Heroes	Almar's Terror	Absolve	3x	3x	3x		Scythe of Justice: Attack all enemies for 500% of ATK	Almar, The Judged ****	Almar, Cosmic Judge ******
dark	Almar, Cosmic Judge	******	Balanced	Legend	3498	1166	5830	Dark Power VI: 200% Damage and HP for all Dark Heroes	Almar's Terror	Absolve	4x	4x	4x		Cosmic Judgement: Attack all enemies for 600% of ATK	Almar, Reluctant Savior *****	Almar, Ascended ******
dark	Almar, Ascended	******	Balanced	Legend	4274	1424	7124	Dark Power VI: 200% Damage and HP for all Dark Heroes	Almar's Terror	Absolve	4x	4x	4x		Ascended Blade: Attack all enemies for 1000% of ATK. Increase self ATK by 50% for 2 turns.	Almar, Cosmic Judge ******	
dark	Shadowfang	****	Warrior	Creature	1246	106	2077	Creature Might IV: 160% Damage for all Creature Heroes	Weaken	Dispel Blind				yes	Shadow Fang: Attack an enemy for 260% of HP for 2 turns		Corrupted Shadowfang *****
dark	Corrupted Shadowfang	*****	Warrior	Creature	2090	174	3484	Creature Might V: 180% Damage for all Creature Heroes	Weaken	Dispel Blind				yes	Oozing Bite: Attack an enemy for 320% of HP for 2 turns	Shadowfang ****	Chegrin, Sun Eater ******
dark	Chegrin, Sun Eater	******	Warrior	Creature	3052	255	5088	Creature Might VI: 200% Damage for all Creature Heroes	Weaken	Dispel Blind				yes	Total Eclipse: Attack an enemy for 380% of HP for 2 turns	Corrupted Shadowfang *****	
dark	Onyx Giant	****	Warrior	Giant	1300	108	2167	Giant Might IV: 160% Damage for all Giant Heroes	Thorns	Dispel Regen				yes	Onyx Fist: Attack all enemies for 280% of HP, ignoring armor		Onyx Titan *****
dark	Onyx Titan	*****	Warrior	Giant	2216	188	3694	Giant Might V: 180% Damage for all Giant Heroes	Thorns	Dispel Regen				yes	Onyx Crush: Attack all enemies for 360% of HP, ignoring armor	Onyx Giant ****	Obrious, Divine Titan ******
dark	Obrious, Divine Titan	******	Warrior	Giant	3224	273	5372	Giant Might VI: 200% Damage for all Giant Heroes	Thorns	Dispel Regen				yes	Earthquake: Attack all enemies for 440% of HP, ignoring armor	Onyx Titan *****	
dark	Dagon The Deep	****	Balanced	Corrupt	980	326	1635	Corrupt Blessing IV: 260% REC for all Corrupt Heroes	Zombie	Dispel Might	2x			yes	Slithering Maw: Reduce all enemy DEF by 40% for 2 turns and Attack all enemies for 1100% of REC		Dagon, Dredge Wyrm *****
dark	Dagon, Dredge Wyrm	*****	Balanced	Corrupt	1660	552	2767	Corrupt Blessing V: 280% REC for all Corrupt Heroes	Zombie	Dispel Might				yes	Tentacle Swipe: Reduce all enemy DEF by 40% for 2 turns and Attack all enemies for 1400% of REC	Dagon The Deep ****	Father Dagon ******
dark	Father Dagon	******	Balanced	Corrupt	2410	804	4018	Corrupt Blessing VI: 300% REC for all Corrupt Heroes	Zombie	Dispel Might				yes	Soul Eater: Reduce all enemy DEF by 40% for 2 turns and Attack all enemies for 1600% of REC	Dagon, Dredge Wyrm *****	
dark	The Opera Ghost	****	Attacker	Corrupt	1717	231	1158	Corrupt Might IV: 160% Damage for all Corrupt Heroes	Traitor	Dispel Thorns					Dark Spell: Attack an enemy for 450% of ATK and Convert 3 Light Gems into Dark Gems		Angel Of Music *****
dark	Angel Of Music	*****	Attacker	Corrupt	2907	390	1956	Corrupt Might V: 180% Damage for all Corrupt Heroes	Traitor	Dispel Thorns					Dark Seduction: Attack an enemy for 600% of ATK and Convert 3 Light Gems into Dark Gems	The Opera Ghost ****	Phantom Of The Opera ******
dark	Phantom Of The Opera	******	Attacker	Corrupt	4226	566	2831	Corrupt Might VI: 200% Damage for all Corrupt Heroes	Traitor	Dispel Thorns					Phantom's Song: Attack an enemy for 700% of ATK and Convert 3 Light Gems into Dark Gems	Angel Of Music *****	
dark	Celestial Devorah	*	Attacker	Demigod Celestial	20	20	20	Human Might I: 110% Damage for all Human Heroes	Dodge	Unknown	2x	2x			Starborn Slash: Attack an enemy for 500% of ATK		Celestial Devorah **
dark	Celestial Devorah	**	Attacker	Demigod Celestial	688	95	475	Human Might II: 120% Damage for all Human Heroes	Dodge	Dispel Siphon	2x	2x			Starborn Slash: Attack an enemy for 500% of ATK	Celestial Devorah *	Celestial Devorah ***
dark	Celestial Devorah	***	Attacker	Demigod Celestial	1156	156	785	Human Might III: 140% Damage for all Human Heroes	Dodge	Dispel Siphon	2x	2x			Starborn Slash: Attack an enemy for 500% of ATK	Celestial Devorah **	Celestial Devorah ****
dark	Celestial Devorah	****	Attacker	Demigod Celestial	1871	249	1250	Human Might IV: 160% Damage for all Human Heroes	Dodge	Dispel Siphon	2x	2x			Starborn Slash: Attack an enemy for 650% of ATK	Celestial Devorah ***	Celestial Devorah *****
dark	Celestial Devorah	*****	Attacker	Demigod Celestial	3169	422	2116	Human Might V: 180% Damage for all Human Heroes	Dodge	Dispel Siphon	3x	3x			Celestial Strike: Attack an enemy for 850% of ATK	Celestial Devorah ****	Celestial Devorah ******
dark	Celestial Devorah	******	Attacker	Demigod Celestial	4620	616	3087	Human Might VI: 200% Damage for all Human Heroes	Dodge	Dispel Siphon	4x	4x			Celestial Assault: Reduce all enemy DEF by 50% for 3 turns and Attack an enemy for 850% of ATK	Celestial Devorah *****	
dark	Venus Physica	***	Mage	God				Power of Love I: 175% Damage for all God Heroes	Judgement	None					Arrow of Lust: Place a counterattack buff on self for 3 turns. Charges extremely fast. Counterattack: When attacked, counterattack for 10% of ATK		Venus Physica ****
dark	Venus Physica	****	Mage	God				Power of Love II: 200% Damage for all God Heroes	Judgement	None						Venus Physica ***	Venus Physica *****
dark	Venus Physica	*****	Mage	God				Power of Love III: 225% Damage for all God Heroes	Judgement	None					Arrow of Lust: Place a counterattack buff on self for 3 turns. Charges extremely fast. Counterattack: When attacked, counterattack for 25% of ATK	Venus Physica ****	Venus Physica ******
dark	Venus Physica	******	Mage	God	3694	1231	1542	Power of Love IV: 300% Damage for all God Heroes	Judgement	None					Arrow of Lust: Place a counterattack buff on self for 3 turns. Charges extremely fast. Counterattack: When attacked, counterattack for 50% of ATK	Venus Physica *****	
dark	Angry Snowman	****	Mage	Demigod	1438	479	616	Demigod Might IV: 160% Damage for all Demigod Heroes	Dodge	Dispel Regen				yes	Frozen Rain: Attack all enemies for 200% of ATK and 600% of REC for 2 turns		Abominable Snowman *****
dark	Abominable Snowman	*****	Mage	Demigod	2430	810	1025	Demigod Might V: 180% Damage for all Demigod Heroes	Dodge	Dispel Regen				yes	Rain of Icicles: Attack all enemies for 250% of ATK and 800% of REC for 2 turns	Angry Snowman ****	Unstoppable Snowman ******
dark	Unstoppable Snowman	******	Mage	Demigod	3542	1181	1488	Demigod Might VI: 200% Damage for all Demigod Heroes	Dodge	Dispel Regen				yes	Whiteout: Attack all enemies for 300% of ATK and 900% of REC for 2 turns	Abominable Snowman *****	
dark	Frost Heart	***	Balanced	Spirit	688	230	1146	Spiritual Strenght I: 175% Damage for all Spirit Heroes	Drain	Dispel Dodge	2x				Cold Blooded: Attack an enemy for 500% of ATK.		Frost Heart ****
dark	Frost Heart	****	Balanced	Spirit	1124	374	1871	Spiritual Strenght I: 200% Damage for all Spirit Heroes	Drain	Dispel Dodge	2x				Cold Blooded: Attack an enemy for 600% of ATK.	Frost Heart ***	Frost Heart *****
dark	Frost Heart	*****	Balanced	Spirit	1904	634	3171	Spiritual Strenght I: 225% Damage for all Spirit Heroes	Drain	Dispel Dodge	3x				Cold Blooded: Attack an enemy for 700% of ATK.	Frost Heart ****	Frost Heart ******
dark	Frost Heart	******	Balanced	Spirit	2772	924	4618	Spiritual Strenght I: 300% Damage for all Spirit Heroes	Drain	Dispel Dodge	4x				Cold Blooded: Attack an enemy for 850% of ATK.	Frost Heart *****	
dark	Moriarty, The Myth	****	Attacker	Fable	1709	229	1144	Demigod Might IV: 160% Damage for all Demigod Heroes	Judgement	Dispel Poison					Steam Rush: Attack an enemy for 500% of ATK, ignoring armor		Moriarty, The Mastermind *****
dark	Moriarty, The Mastermind	*****	Attacker	Fable	2895	386	1936	Demigod Might V: 180% Damage for all Demigod Heroes	Judgement	Dispel Poison					Tesla Coil: Attack an enemy for 650% of ATK, ignoring armor	Moriarty, The Myth ****	Professor Moriarty ******
dark	Professor Moriarty	******	Attacker	Fable	4228	566	2831	Demigod Might VI: 200% Damage for all Demigod Heroes	Judgement	Dispel Poison					Steam Charge: Attack an enemy for 750% of ATK, ignoring armor	Moriarty, The Mastermind *****	
dark	Bella, Heart Guard	****	Mage	God	1795	241	1210	Dark Armor IV: 160% HP for all Dark Heroes	Weaken	Dispel Blind	2x				Love's Guard: Upgrades 1 Dark gem into a Power I Gem. Charges extremely fast.		Bella, Protector Of Venus *****
dark	Bella, Protector Of Venus	*****	Mage	God	3035	406	2034	Dark Armor V: 180% HP for all Dark Heroes	Weaken	Dispel Blind	3x				Love's Protector: Upgrades 1 Dark gem into a Power II Gem. Charges extremely fast.	Bella, Heart Guard ****	Empyrean Bella ******
dark	Empyrean Bella	******	Mage	God	4424	592	2959	Dark Armor VI: 200% HP for all Dark Heroes	Weaken	Dispel Blind	4x				Empyrean Blast: Upgrades 1 Dark gem into a Power III Gem. Charges extremely fast.	Bella, Protector Of Venus *****	
dark	Masamune, Shadow Forged	***	Attacker	Spirit	1152	156	781	Spirit Armor III: 140% HP for all Spirit Heroes	Vessel	Dispel Weaken	2x				Dark Void: If the target is Light, attack for 300% ATK. Damage self for 100% RCV.		Masamune, Assassin's Friend ****
dark	Masamune, Assassin's Friend	****	Attacker	Spirit	1875	251	1260	Spirit Armor IV: 160% HP for all Spirit Heroes	Vessel	Dispel Weaken	2x				Dark Void: If the target is Light, attack for 300% ATK. Damage self for 100% RCV.	Masamune, Shadow Forged ***	Masamune, Dark Void *****
dark	Masamune, Dark Void	*****	Attacker	Spirit	3177	426	2128	Spirit Armor V: 180% HP for all Spirit Heroes	Vessel	Dispel Weaken	3x					Masamune, Assassin's Friend ****	Masamune, Demon Blade ******
dark	Masamune, Demon Blade	******	Attacker	Spirit	4624	618	3093	Spirit Armor VI: 200% HP for all Spirit Heroes	Vessel	Dispel Weaken	4x				Dark Void: If the target is Light, attack four times for 300% ATK. Damage self for 100% RCV.	Masamune, Dark Void *****	
dark	Lord Dracula	****	Defender	Fable	759	253	3132	Dark Armor IV: 160% HP for all Dark Heroes	Weaken	Dispel Traitor				yes	Dark Seduction: Place a counterattack buff on self for 3 turns. Charges extremely fast. Counterattack: When attacked, counterattack for 10% of ATK.		Lord Dracula *****
dark	Lord Dracula	*****	Defender	Fable	1275	424	5293	Dark Armor V: 180% HP for all Dark Heroes	Weaken	Dispel Traitor				yes	Dark Seduction: Place a counterattack buff on self for 3 turns. Charges extremely fast. Counterattack: When attacked, counterattack for 15% of ATK.	Lord Dracula ****	Lord Dracula ******
dark	Lord Dracula	******	Defender	Fable	1856	618	7705	Dark Armor VI: 200% HP for all Dark Heroes	Weaken	Dispel Traitor				yes		Lord Dracula *****	
dark	Dhala, Avenging Angel	***	Attacker	Demigod	1140	152	761	Thrill of the Hunt I: 175% Damage for Water Bounty Hunters	Thorns	Dispel Panic		2x	2x		Avenging Angel: Attack an enemy for 400% of ATK.		Dhala, Avenging Angel ****
dark	Dhala, Avenging Angel	****	Attacker	Demigod	1881	253	1266	Thrill of the Hunt II: 200% Damage for Water Bounty Hunters	Thorns	Dispel Panic		2x	2x		Avenging Angel: Attack an enemy for 600% of ATK.	Dhala, Avenging Angel ***	Dhala, Avenging Angel *****
dark	Dhala, Avenging Angel	*****	Attacker	Demigod	3181	426	2136	Thrill of the Hunt III: 225% Damage for Water Bounty Hunters	Thorns	Dispel Panic		3x	3x		Avenging Angel: Attack an enemy for 700% of ATK.	Dhala, Avenging Angel ****	Dhala, Avenging Angel ******
dark	Dhala, Avenging Angel	******	Attacker	Demigod	4626	618	3097	Thrill of the Hunt IV: 300% Damage for Water Bounty Hunters	Thorns	Dispel Panic		4x	4x		Avenging Angel: Attack an enemy for 800% of ATK.	Dhala, Avenging Angel *****	
dark	Sir Elric Of Brin	****	Attacker	Human	1951	261	1306	Human Armor IV: 160% HP for all Human Heroes	Regen	Dispel Poison			2x		Ethereal Axe: Attack the target for 10x your remaining HP % (maximum 1000% ATK).		Sir Elric Of Brin *****
dark	Sir Elric Of Brin	*****	Attacker	Human	3309	442	2212	Human Armor V: 180% HP for all Human Heroes	Regen	Dispel Poison			3x		Ethereal Axe: Attack the target for 20x your remaining HP % (maximum 2000% ATK).	Sir Elric Of Brin ****	Sir Elric Of Brin ******
dark	Sir Elric Of Brin	******	Attacker	Human	4828	646	3231	Human Armor VI: 200% HP for all Human Heroes	Regen	Dispel Poison			4x		Ethereal Axe: Attack the target for 30x your remaining HP % (maximum 3000% ATK).	Sir Elric Of Brin *****	
dark	Lady Egestas	***	Attacker	Spirit	1202	162	815	Eggceptional Power I: 175% Damage and HP for all Dark Attacker Heroes	Thorns	Dispel Panic			2x		Rite of Spring: Fully heals yourself. Usable once every 7 turns.		Lady Egestas ****
dark	Lady Egestas	****	Attacker	Spirit	1955	261	1312	Eggceptional Power II: 200% Damage and HP for all Dark Attacker Heroes	Thorns	Dispel Panic			2x		Rite of Spring: Fully heals yourself. Usable once every 7 turns.	Lady Egestas ***	Lady Egestas *****
dark	Lady Egestas	*****	Attacker	Spirit	3313	444	2220	Eggceptional Power II: 225% Damage and HP for all Dark Attacker Heroes	Thorns	Dispel Panic			3x		Rite of Spring: Fully heals yourself. Increase the number of turns until the target attack by 1. Usable once every 7 turns.	Lady Egestas ****	Lady Egestas ******
dark	Lady Egestas	******	Attacker	Spirit	4818	642	3217	Eggceptional Power III: 300% Damage and HP for all Dark Attacker Heroes	Thorns	Dispel Panic			4x		Rite of Spring: Fully heals yourself. Increase the number of turns until the target attack by 2. Usable once every 7 turns.	Lady Egestas *****	
dark	Wicked Queen	****	Mage	Human	1506	501	642	Mage Might IV: 160% Damage for all Mage Heroes	Siphon	Dispel Armor				yes	Dark Mirror: Remove 1 Debuff from a Hero. Heal for 10% of max HP.		Wicked Queen *****
dark	Wicked Queen	*****	Mage	Human	2542	846	1071	Mage Might V: 180% Damage for all Mage Heroes	Siphon	Dispel Armor				yes	Dark Mirror: Remove 1 Debuff from a Hero. Heal for 15% of max HP.	Wicked Queen ****	Wicked Queen ******
dark	Wicked Queen	******	Mage	Human	3702	1233	1554	Mage Might Vi: 200% Damage for all Mage Heroes	Siphon	Dispel Armor				yes		Wicked Queen *****	
